"output_prefix","name","motif_id","cluster","total_tfbs","shCol7_mean_score","shCol7_bound","shC_mean_score","shC_bound","shCol7_shC_change","shCol7_shC_pvalue","shCol7_shC_highlighted","diffexpressed","labels"
"NFYA_MA0060.3","NFYA","MA0060.3","C_NFYA",30918,0.23576,12030,0.22068,11159,0.27998,5.86737e-167,"True","UP","NFYA"
"CEBPG_MA0838.1","CEBPG","MA0838.1","C_CEBPA",16426,0.15136,6413,0.16379,7113,-0.27508,1.02612e-158,"True","DOWN","CEBPG"
"CEBPE_MA0837.2","CEBPE","MA0837.2","C_CEBPA",11452,0.15003,4537,0.16219,5018,-0.27134,1.07673e-141,"True","DOWN","CEBPE"
"CEBPB_MA0466.3","CEBPB","MA0466.3","C_CEBPA",9985,0.1518,3973,0.16368,4384,-0.25514,6.03439e-144,"True","DOWN","CEBPB"
"CEBPD_MA0836.2","CEBPD","MA0836.2","C_CEBPA",44070,0.12639,15053,0.13895,16777,-0.25014,3.33241e-173,"True","DOWN","CEBPD"
"NFYC_MA1644.1","NFYC","MA1644.1","C_NFYA",33297,0.22056,12708,0.20719,11882,0.24948,3.54774e-160,"True","UP","NFYC"
"VEZF1_MA1578.1","VEZF1","MA1578.1","C_VEZF1",29848,0.12361,8155,0.11459,7662,0.24621,2.70416e-167,"True","UP","VEZF1"
"CEBPA_MA0102.4","CEBPA","MA0102.4","C_CEBPA",49982,0.12157,16605,0.13281,18419,-0.23553,2.88398e-168,"True","DOWN","CEBPA"
"YY2_MA0748.2","YY2","MA0748.2","C_YY2",18194,0.22031,9041,0.20549,8662,0.22732,7.01401e-149,"True","UP","YY2"
"KLF15_MA1513.1","KLF15","MA1513.1","C_PATZ1",90606,0.31255,51339,0.29092,50150,0.21204,1.6816e-177,"True","UP","KLF15"
"ZBTB7B_MA0694.1","ZBTB7B","MA0694.1","C_ZBTB7B",20454,0.1208,5863,0.11235,5510,0.21146,3.56201e-149,"True","UP","ZBTB7B"
"ETS1_MA0098.3","ETS1","MA0098.3","C_ERF",25684,0.22685,12267,0.21461,11718,0.20925,1.42205e-151,"True","UP","ETS1"
"FLI1_MA0475.2","FLI1","MA0475.2","C_ERF",18867,0.25123,9663,0.23763,9287,0.2079,1.38436e-143,"True","UP","FLI1"
"ETS2_MA1484.1","ETS2","MA1484.1","C_ERF",22032,0.23762,10657,0.2251,10212,0.20483,2.94897e-151,"True","UP","ETS2"
"SPDEF_MA0686.1","SPDEF","MA0686.1","C_SPDEF",15606,0.21254,6835,0.20115,6542,0.19984,3.53595e-137,"True","UP","SPDEF"
"ETV4_MA0764.3","ETV4","MA0764.3","C_ERF",15996,0.31034,8982,0.29406,8722,0.19896,3.14883e-141,"True","UP","ETV4"
"FEV_MA0156.3","FEV","MA0156.3","C_ERF",17154,0.27404,9111,0.25966,8836,0.19719,3.27109e-140,"True","UP","FEV"
"ERF_MA0760.1","ERF","MA0760.1","C_ERF",23529,0.22444,11107,0.21268,10660,0.19588,1.83126e-146,"True","UP","ERF"
"SP9_MA1564.1","SP9","MA1564.1","C_KLF9",103571,0.26336,48207,0.24517,46930,0.19539,1.20648e-184,"True","UP","SP9"
"ETV5_MA0765.3","ETV5","MA0765.3","C_ERF",15109,0.30635,8460,0.29061,8237,0.19495,2.66574e-140,"True","UP","ETV5"
